"","Var2","Freq.A","Freq.B","dist","Trait","Species"
"ARTR RGR_Below_ln.9","E",0.0767390299556705,0.0749919846069187,0.0115140952150628,"RGR_Below_ln","ARTR"
"ARTR RGR_Below_ln.11","F",0.143645243292028,0.0749919846069187,0.314005347327402,"RGR_Below_ln","ARTR"
"ARTR RGR_Tot_ln.7","D",0.0792254879741551,0.146057321115126,0.296657492025879,"RGR_Tot_ln","ARTR"
"ARTR RGR_Tot_ln.9","E",0.0792254879741551,0.0744893696463359,0.0308110640775676,"RGR_Tot_ln","ARTR"
"ARTR RGR_Tot_ln.11","F",0.146057321115126,0.0744893696463359,0.324502495238962,"RGR_Tot_ln","ARTR"
"ARTR RMR.1","A",0.262297593031286,0.257631224565295,0.00897501409435536,"RMR","ARTR"
"ARTR RMR.3","B",0.262297593031286,0.253355810640397,0.0173406833489688,"RMR","ARTR"
"ARTR RMR.5","C",0.262297593031286,0.231178361966271,0.0630612915378403,"RMR","ARTR"
"ARTR RMR.7","D",0.257631224565295,0.253355810640397,0.00836697143045284,"RMR","ARTR"
"ARTR RMR.9","E",0.257631224565295,0.231178361966271,0.0541169063125892,"RMR","ARTR"
"ARTR RMR.11","F",0.253355810640397,0.231178361966271,0.0457706595900501,"RMR","ARTR"
"ARTR RTD.1","A",0.0792333333333333,0.0831261904761905,0.0239767711281547,"RTD","ARTR"
"ARTR RTD.3","B",0.0792333333333333,0.0977884239549508,0.104818135950374,"RTD","ARTR"
"ARTR RTD.5","C",0.0792333333333333,0.122955128386868,0.216242780035781,"RTD","ARTR"
"ARTR RTD.7","D",0.0831261904761905,0.0977884239549508,0.0810450472719603,"RTD","ARTR"
"ARTR RTD.9","E",0.0831261904761905,0.122955128386868,0.193268065880069,"RTD","ARTR"
"ARTR RTD.11","F",0.0977884239549508,0.122955128386868,0.114008786054809,"RTD","ARTR"
"ARTR SLA.1","A",36.0922349074555,32.7563411383682,0.0484526182047243,"SLA","ARTR"
"ARTR SLA.3","B",36.0922349074555,25.7649617912595,0.166953461639986,"SLA","ARTR"
"ARTR SLA.5","C",36.0922349074555,23.4709171324584,0.211898083676622,"SLA","ARTR"
"ARTR SLA.7","D",32.7563411383682,25.7649617912595,0.119467253754004,"SLA","ARTR"
"ARTR SLA.9","E",32.7563411383682,23.4709171324584,0.165140970615804,"SLA","ARTR"
"ARTR SLA.11","F",25.7649617912595,23.4709171324584,0.0465929462202812,"SLA","ARTR"
"ARTR SRL.1","A",31.8411912358133,50.1772075398723,0.223559793628826,"SRL","ARTR"
"ARTR SRL.3","B",31.8411912358133,19.6987549480285,0.235592723447421,"SRL","ARTR"
"ARTR SRL.5","C",31.8411912358133,13.9674618451983,0.390182382332998,"SRL","ARTR"
"ARTR SRL.7","D",50.1772075398723,19.6987549480285,0.436179359921106,"SRL","ARTR"
"ARTR SRL.9","E",50.1772075398723,13.9674618451983,0.564501244480677,"SRL","ARTR"
"ARTR SRL.11","F",19.6987549480285,13.9674618451983,0.170238703624793,"SRL","ARTR"
"ELTR LDMC.1","A",0.149529538303054,0.191209370436688,0.122321904145876,"LDMC","ELTR"
"ELTR LDMC.3","B",0.149529538303054,0.183778256801838,0.10275402796387,"LDMC","ELTR"
"ELTR LDMC.5","C",0.149529538303054,0.217428577610861,0.185032123185783,"LDMC","ELTR"
"ELTR LDMC.7","D",0.191209370436688,0.183778256801838,0.0198169568675457,"LDMC","ELTR"
"ELTR LDMC.9","E",0.191209370436688,0.217428577610861,0.0641624384114284,"LDMC","ELTR"
