"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"34","h4","ACMI",-3.85145457046722,3.30306030118883,18.6400580618507,33.7576802455013,41.2774677224168,"SLA"
"35","h4","ARTR",-0.358863406385012,10.0389759869127,28.5360475932201,46.8519392648013,55.8951467360506,"SLA"
"36","h4","ELTR",31.2589749520935,40.7177849088954,58.9711041623027,77.0173731489458,86.7243282970999,"SLA"
"37","h4","HEAN",-3.16838544055106,7.32011373682778,27.0215942387405,46.6238729632525,55.997528515669,"SLA"
"38","h4","HECO",3.94332129987968,13.5821934755305,32.2589562481452,50.3823702363703,59.5484443937721,"SLA"
"39","h4","HEVI",1.26571617108624,13.7681560896956,39.6915413478823,64.0465911283316,77.2524514372794,"SLA"
"40","h4","MACA",1.70499411178885,12.1090474891231,31.0610012994469,50.1112681231966,59.649013775833,"SLA"
"41","h4","MUPO",26.3084841970018,35.3998231426561,55.1471997823761,74.5280763284792,84.7699086999729,"SLA"
"42","h4","PAMU",NA,NA,NA,NA,NA,"SLA"
"43","h4","PLPA",137.85315199531,147.37976386557,164.943986048217,182.275621449742,191.502834097718,"SLA"
"44","h4","VUOC",41.6049054470591,51.0196892254253,69.3076630260725,87.4570465786947,96.3674126208052,"SLA"
"45","h1","ACMI",0.0931490207952964,0.127053277078692,0.170761781911683,0.21214417117317,0.236895686940379,"LDMC"
"46","h1","ARTR",0.0554773684388573,0.0870510372661603,0.127820559874885,0.164453655373385,0.187427766468534,"LDMC"
"47","h1","ELTR",0.0692082512184672,0.106559293723803,0.146113146540324,0.178859208376038,0.203470130839951,"LDMC"
"48","h1","HEAN",0.158364588789614,0.196400764228566,0.240720255799762,0.277309105438872,0.297086756212799,"LDMC"
"49","h1","HECO",0.120306175532146,0.154443448474743,0.194278552833779,0.225136378053661,0.245425290117053,"LDMC"
"50","h1","HEVI",-0.0207510507178095,0.0172910304322837,0.0831976243488898,0.149237512233561,0.184062254498513,"LDMC"
"51","h1","MACA",0.126236163149615,0.161569717256856,0.203897353713682,0.24000582511319,0.262865832819303,"LDMC"
"52","h1","MUPO",0.117615668883456,0.152790230676651,0.192649176405381,0.228208558063379,0.25003964979938,"LDMC"
"53","h1","PAMU",0.0350116326829098,0.0714691301304049,0.138575952696365,0.206127594032402,0.243158046661308,"LDMC"
