"","H_num","POP_ID","Above_weight_avg","Tot_weight_avg","Below_weight_avg","RE_avg","RGR_Above_ln","RGR_Below_ln","RGR_Tot_ln","RER_ln","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm","Days"
"ELTR_UTSW_DNF.46","H2","ELTR_UTSW_DNF",0.004725,0.01215,0.007425,199.6568,0.0194238368202601,0.0715988754695397,0.046629938226641,0.082968696002511,"ELTR","UTSW","DNF","GRASS","24"
"ELTR_UTSW_DNF.47","H3","ELTR_UTSW_DNF",0.03585,0.04955,0.0137,305.2027,0.112582000338885,0.034030174896962,0.0780918383883022,0.023576458527532,"ELTR","UTSW","DNF","GRASS","42"
"ELTR_UTSW_DNF.48","H4","ELTR_UTSW_DNF",1.24393333333333,1.96483333333333,0.7209,8748.00183333333,0.084445002720224,0.0943596332994394,0.0876233438640018,0.0798953439366488,"ELTR","UTSW","DNF","GRASS","84"
"ELTR_UTSW_SP.49","H1","ELTR_UTSW_SP",0.000221475,0.00048785,0.000266375,14.3055,NA,NA,NA,NA,"ELTR","UTSW","SP","GRASS","10"
"ELTR_UTSW_SP.50","H2","ELTR_UTSW_SP",0.0009073,0.00152875,0.00062145,44.4088,0.100725959991249,0.0605107404837671,0.0815855503891017,0.080913826378055,"ELTR","UTSW","SP","GRASS","24"
"ELTR_UTSW_SP.51","H3","ELTR_UTSW_SP",0.0027,0.00363333333333333,0.000933333333333333,56.9919333333333,0.0605852164342687,0.0225948305724258,0.0480944495859857,0.0138595605196688,"ELTR","UTSW","SP","GRASS","42"
"ELTR_UTSW_SP.52","H4","ELTR_UTSW_SP",0.441266666666667,0.588,0.146733333333333,2736.95536666667,0.12134280014301,0.12041927980741,0.121108963031706,0.0921831348610344,"ELTR","UTSW","SP","GRASS","84"
"HEAN_AZSE_HWD.53","H1","HEAN_AZSE_HWD",0.00353,0.00416406666666667,0.000634066666666667,6.57443333333333,NA,NA,NA,NA,"HEAN","AZSE","HWD","FORB","10"
"HEAN_AZSE_HWD.54","H2","HEAN_AZSE_HWD",0.0014,0.001820425,0.000420425,7.683875,-0.0660589738802851,-0.0293491426408115,-0.0591015836114019,0.0111382562785495,"HEAN","AZSE","HWD","FORB","24"
"HEAN_AZSE_HWD.55","H3","HEAN_AZSE_HWD",0.00985,0.0123,0.00245,37.3273,0.10838884547571,0.09792095550722,0.106140515114827,0.0878111658455149,"HEAN","AZSE","HWD","FORB","42"
