"","mean","mcse","sd","CI_10","CI_20","CI_50","CI_80","CI_90","n_eff","Rhat","Species","trait"
"SpeciesPAMU1",0.201823775797039,0.00071372691374443,0.0465063465800848,0.142439525730522,0.163475725574274,0.201886894934425,0.240403244408744,0.260602906875185,4246,0.999801231983442,"PAMU","RDMC"
"SpeciesPLPA1",0.106718008494154,0.000672448432604474,0.0458870350232437,0.0483714286389529,0.0693281020149828,0.106825584114577,0.145416787060581,0.16390661798663,4657,1.00013154383017,"PLPA","RDMC"
"SpeciesACMI2",0.175540450359772,0.000800640473804405,0.0600457482616486,0.0982288055774848,0.125814400271533,0.1747971771989,0.225965402924925,0.251940088661014,5625,0.999807818557463,"ACMI","RER"
"SpeciesARTR2",0.154816097047122,0.000840324558633047,0.0580323571410514,0.0825933221249832,0.107038603405122,0.154473670051663,0.203647238274676,0.227086844390021,4769,0.999562831108348,"ARTR","RER"
"SpeciesELTR2",0.312638047936792,0.000867758221002269,0.0592683315206653,0.237948836540875,0.262910515095964,0.313052747164459,0.362195547968667,0.387994822314248,4665,1.00002654108055,"ELTR","RER"
"SpeciesHEAN2",0.188481573535375,0.000854793658959732,0.0597062091057498,0.115035154719818,0.138646324233665,0.188508492209359,0.237070875991195,0.265657259986001,4879,0.99933621635132,"HEAN","RER"
"SpeciesHECO2",0.219517632070086,0.000834756445137178,0.0594759353286023,0.144308404534863,0.170069099687436,0.219491073378077,0.267528080047515,0.294822706873184,5076,1.00015793021289,"HECO","RER"
"SpeciesHEVI2",0.319500766207223,0.000944356947454729,0.0605211724584575,0.243525768170984,0.268903875311527,0.318804636610068,0.369416586414692,0.39770609783194,4107,1.00036088455312,"HEVI","RER"
"SpeciesMACA2",0.238868805729548,0.000928368113232985,0.0590024023786734,0.162439286616678,0.189553003591293,0.238724943409652,0.287683817912435,0.312467544879562,4039,1.00005794751324,"MACA","RER"
"SpeciesMUPO2",0.131769610693087,0.00089233868917033,0.0587873543227773,0.0576625410595179,0.0822132381819485,0.131892054344867,0.179875428133022,0.207829031460948,4340,1.00001275832142,"MUPO","RER"
"SpeciesPAMU2",0.215729470749624,0.000857209370061844,0.0595224892927574,0.13901641899279,0.167624452731246,0.215756595493697,0.264366586114841,0.290393804980906,4822,0.999337563984549,"PAMU","RER"
"SpeciesPLPA2",0.253885525842444,0.000871584303726957,0.0583711007434277,0.179490951217201,0.205076457890376,0.252875144523207,0.303391554479967,0.330009781917134,4485,0.999750736258808,"PLPA","RER"
"SpeciesACMI3",0.28685041354629,0.00168500958830619,0.120229026978081,0.135991125750266,0.185589698115122,0.28845222702844,0.383283228559248,0.436706625809984,5091,0.999803869539356,"ACMI","RGR_Above_ln"
"SpeciesARTR3",0.223276008878757,0.00183206718157705,0.120353466832205,0.0728862191336437,0.124332814908989,0.222468298473681,0.32076951573392,0.37667919059925,4316,0.999883879506098,"ARTR","RGR_Above_ln"
"SpeciesELTR3",0.175060242169251,0.00163796126078524,0.116551758463856,0.0308468547287115,0.0799441002673751,0.173369512657571,0.271851695375101,0.321847360071531,5063,0.999596808139136,"ELTR","RGR_Above_ln"
"SpeciesHEAN3",0.2564828899967,0.00163649193823673,0.116885860774,0.105604239272223,0.159296128572628,0.258636670092673,0.351885441474217,0.405118915281902,5101,0.999660752580635,"HEAN","RGR_Above_ln"
"SpeciesHECO3",0.203611316723786,0.00179065624425119,0.120310124938031,0.0515814957893391,0.104364447095765,0.202394260249895,0.304107555976908,0.356966982684764,4514,1.00055906574474,"HECO","RGR_Above_ln"
"SpeciesHEVI3",0.153222778088653,0.00171233787608785,0.118947392239218,0.0031994114312581,0.0554471387744144,0.15408463787064,0.253926548965956,0.303077717052564,4825,1.00084274435755,"HEVI","RGR_Above_ln"
"SpeciesMACA3",0.194894424355011,0.00185283029378584,0.120861163727674,0.0426301136884195,0.0939421369456051,0.194835227114897,0.29582197378788,0.352013909819133,4255,0.999708956024067,"MACA","RGR_Above_ln"
"SpeciesMUPO3",0.102494248227764,0.00180447228487584,0.120627089806088,-0.0510178931918018,0.0072662028464188,0.100658219299884,0.198466482552164,0.254677056497937,4469,0.999404812926007,"MUPO","RGR_Above_ln"
"SpeciesPAMU3",0.77069800197869,0.00255233946439425,0.12798444630416,0.605458430905634,0.665308562892358,0.773446580580546,0.87656347274401,0.9353116197394,2514,1.00127574087301,"PAMU","RGR_Above_ln"
"SpeciesPLPA3",0.251859252267144,0.00187523826621068,0.117554302757676,0.0967208795359052,0.154590445768835,0.254565815189751,0.349202359996119,0.399900358478832,3930,1.00110267204476,"PLPA","RGR_Above_ln"
"SpeciesACMI4",0.485804680067573,0.00145702037099334,0.0946042260422015,0.361966177986936,0.406944588154393,0.488266311008699,0.564226388254726,0.605796145263227,4216,1.00000793412386,"ACMI","RGR_Below_ln"
"SpeciesARTR4",0.231583794270316,0.00136544490509009,0.0964267402854759,0.109199609820372,0.153095608890289,0.23142202186517,0.31029988767725,0.351826639699314,4987,0.999762487576982,"ARTR","RGR_Below_ln"
"SpeciesELTR4",0.308899732021323,0.00120048282169156,0.091078344218536,0.193054762143508,0.229681676116472,0.307910348211363,0.385889990542058,0.427197515016899,5756,0.999632862585889,"ELTR","RGR_Below_ln"
"SpeciesHEAN4",0.231538804813657,0.00135507627822547,0.0924424929970318,0.113126668434759,0.1547684213724,0.233851449184732,0.307368317076595,0.344026412886996,4654,0.999743736011117,"HEAN","RGR_Below_ln"
"SpeciesHECO4",0.228223278008392,0.00127331393404884,0.0917048282718423,0.110447176990291,0.152565994384461,0.231411143513185,0.304273458888137,0.343874754581907,5187,1.00051216910289,"HECO","RGR_Below_ln"
"SpeciesHEVI4",0.276606470035723,0.00142006089089322,0.0935122396969152,0.156563809604542,0.197093869841896,0.277989018854895,0.35236797989202,0.395160296799411,4336,0.999240586597961,"HEVI","RGR_Below_ln"
"SpeciesMACA4",0.182944935973466,0.00128998091366356,0.0941548670764205,0.0640347677189362,0.107215120871628,0.182382757562897,0.259618247507748,0.302084297759105,5327,0.999675012595177,"MACA","RGR_Below_ln"
"SpeciesMUPO4",0.319600255802597,0.00129306137962235,0.0932739672014444,0.201359517445881,0.241761014484337,0.318987587154111,0.396963337238422,0.438822940042404,5203,0.999177121484346,"MUPO","RGR_Below_ln"
"SpeciesPAMU4",0.509339028304407,0.00143202065567918,0.0958282658978463,0.389625513886257,0.430745146798396,0.508198304121554,0.588535225833771,0.628392628182827,4478,0.999813083806123,"PAMU","RGR_Below_ln"
"SpeciesPLPA4",0.459593174652716,0.00131140071947291,0.0946756321193766,0.336667306556231,0.382286897818988,0.459395049351993,0.536654181681403,0.579704351856386,5212,0.999640928048161,"PLPA","RGR_Below_ln"
"SpeciesACMI5",0.239293166186648,0.00140103629703901,0.102156157721509,0.111123578418617,0.153840557349723,0.23881002964605,0.322725800268783,0.369986757781069,5317,0.999366907328769,"ACMI","RGR_Tot_ln"
"SpeciesARTR5",0.21618938295368,0.00136595034425538,0.102200596049656,0.0867164177751179,0.130617562260862,0.217602446193998,0.299550709473056,0.343984651631212,5598,1.00043473317688,"ARTR","RGR_Tot_ln"
"SpeciesELTR5",0.143223372346181,0.00152663839759089,0.103162996998694,0.0141809530863967,0.0553287065764014,0.144228047723702,0.22888699447987,0.276115712922029,4566,0.999556213813584,"ELTR","RGR_Tot_ln"
"SpeciesHEAN5",0.216443416017134,0.00153184301828437,0.103401015097707,0.0833606845753676,0.131981191817578,0.217843321379009,0.300587352347438,0.345340193234917,4556,0.999450840549872,"HEAN","RGR_Tot_ln"
"SpeciesHECO5",0.196431714682096,0.00154260279421386,0.105461068598351,0.0621835027307619,0.108301631740214,0.195552382207347,0.284712361301925,0.332819803218646,4674,0.999591356636647,"HECO","RGR_Tot_ln"
"SpeciesHEVI5",0.0879667357158737,0.00157551878400953,0.104882617940093,-0.0440518044435581,0.00173883002461349,0.0880632897890178,0.176335152087988,0.222101085094791,4432,1.00001202659721,"HEVI","RGR_Tot_ln"
"SpeciesMACA5",0.156646014458677,0.00142885686064084,0.104014265238279,0.0239454343945069,0.0723667798631051,0.157202803596158,0.243240359148075,0.289301060628501,5299,1.00014746549246,"MACA","RGR_Tot_ln"
"SpeciesMUPO5",0.162156314671152,0.001452498458092,0.104151885506574,0.0324896700603731,0.0779750911075574,0.160018721528965,0.249760013241073,0.296672802434829,5142,1.00006177164882,"MUPO","RGR_Tot_ln"
"SpeciesPAMU5",0.68610224978434,0.00213318554517451,0.11066341616839,0.547297150970797,0.59419886141225,0.684359820518583,0.777935039591505,0.825696865899933,2691,1.00045131139393,"PAMU","RGR_Tot_ln"
"SpeciesPLPA5",0.185532555033619,0.00161814333421124,0.104076730964734,0.0548235771142664,0.0992833698449211,0.187189278328131,0.270893950604387,0.314230599376534,4137,0.999570525257187,"PLPA","RGR_Tot_ln"
"SpeciesACMI6",0.135811715555073,0.00062873894775639,0.0464117907538363,0.0759380210140845,0.0978482929156515,0.136141848235126,0.174449107695706,0.195505372975887,5449,0.999239252915803,"ACMI","RMR"
"SpeciesARTR6",0.0472447808276509,0.000758816845311062,0.0473320865478924,-0.0125976525573987,0.00734058085651006,0.0475507099608131,0.0865965485510249,0.107409609809907,3891,1.00183822997143,"ARTR","RMR"
"SpeciesELTR6",0.185501501831156,0.000763485400980323,0.0484929464303159,0.124883224103482,0.145476695402618,0.185676891274456,0.226648746300892,0.246198504870323,4034,0.999170272417909,"ELTR","RMR"
"SpeciesHEAN6",0.125353740445814,0.000672656630485477,0.0473880803625073,0.066368529380001,0.0861626039065741,0.124282485288942,0.164401621770053,0.185549587345752,4963,0.999848361034455,"HEAN","RMR"
"SpeciesHECO6",0.0763020897027857,0.000679751849459302,0.0470118020252655,0.0155921903473386,0.0374036144750548,0.0768224778070228,0.115641339032365,0.135689431455245,4783,0.999577470882006,"HECO","RMR"
"SpeciesHEVI6",0.192772730001136,0.000727502102317172,0.0473247192509663,0.131645113773424,0.153405828469832,0.192915271972902,0.232150248141414,0.253195110143756,4232,1.00012494209141,"HEVI","RMR"
"SpeciesMACA6",0.0822194725990594,0.000734738212943902,0.0477249191853636,0.0210648340559325,0.0418475083677656,0.0822417720961584,0.122388041175208,0.143744547608576,4219,0.999496807651877,"MACA","RMR"
"SpeciesMUPO6",0.0859716855389958,0.000709452676912161,0.0476569151068704,0.0257734525375112,0.0465580844030727,0.0861371167450329,0.125412638140956,0.146408390325887,4512,0.999946277624656,"MUPO","RMR"
"SpeciesPAMU6",0.0882199127093687,0.00069558290042525,0.0473263817277239,0.0275643553677909,0.0483148322711926,0.089880123420261,0.127933823520969,0.148921851979761,4629,0.999910643468313,"PAMU","RMR"
"SpeciesPLPA6",0.223381183849685,0.000883949190348671,0.0482289764852039,0.163376078872878,0.183476203306118,0.222879476685644,0.263001096806858,0.284648961547153,2977,1.00167711752907,"PLPA","RMR"
"SpeciesACMI7",0.203415049309744,0.000607682940515583,0.040347727414218,0.151267161391156,0.170026330417504,0.203743301054368,0.236934410261988,0.253846643516291,4408,0.999223134194953,"ACMI","RTD"
"SpeciesARTR7",0.124099454330036,0.00057800757185769,0.0400342798694348,0.0735302374256312,0.0904441911655712,0.124289949972816,0.157138315975984,0.175235112938643,4797,0.999325472964737,"ARTR","RTD"
"SpeciesELTR7",0.220426534710387,0.000612835169437881,0.0403471851955321,0.170190141970527,0.186947115256541,0.220148084300986,0.253148690178841,0.270868258872818,4335,0.99942818030475,"ELTR","RTD"
"SpeciesHEAN7",0.0992904157692343,0.000578555615616603,0.0410082164030918,0.0458961593578998,0.0661715972641115,0.0989366810725516,0.133134389064585,0.152063354319165,5024,1.0003270834052,"HEAN","RTD"
"SpeciesHECO7",0.146000530945872,0.000533784579394296,0.0410334724685851,0.0938389961774969,0.112085227607705,0.14681216147454,0.179865447323886,0.197275130641308,5909,0.999604328588229,"HECO","RTD"
"SpeciesHEVI7",0.175104865332978,0.000560401192724851,0.0409880183321479,0.123532276554935,0.141664954535653,0.174752338798246,0.208735975014469,0.22734948808814,5350,0.999984402361924,"HEVI","RTD"
"SpeciesMACA7",0.0618713036372767,0.000585278734352312,0.0405765742180878,0.0104838283342547,0.0268310358168952,0.0621738232774114,0.0960899033227151,0.112840470060645,4806,1.00054000613605,"MACA","RTD"
"SpeciesMUPO7",0.189979848433265,0.000532166649333508,0.0400833714496558,0.139007662993608,0.155955809278874,0.190529937112429,0.223888382008473,0.239963745143916,5673,0.999806671148151,"MUPO","RTD"
"SpeciesPAMU7",0.116647185757638,0.000553880719316457,0.0398966169815273,0.0659500756670985,0.083580472685367,0.116823602201343,0.150032044908828,0.167559344631628,5188,0.999843648849592,"PAMU","RTD"
"SpeciesPLPA7",0.193060857311632,0.000569472898586901,0.0401169305877572,0.142177787335903,0.15877650073563,0.192981557672909,0.226853714013704,0.243893248490119,4963,1.00000948217669,"PLPA","RTD"
"SpeciesACMI8",0.230279381706352,0.00100014736362116,0.0731832430786565,0.137550825492026,0.168285330238075,0.230355492244364,0.291342320898954,0.323105295982913,5354,0.999481180119987,"ACMI","SLA"
"SpeciesARTR8",0.143793233566366,0.000985234560234146,0.0718484053382255,0.0519939746924183,0.0844241388448327,0.143574269253822,0.204407106484208,0.234299698854793,5318,0.999433303939003,"ARTR","SLA"
"SpeciesELTR8",0.154180983172898,0.00108177537955538,0.0747639326614634,0.05953621896829,0.0928131729333912,0.152884311763647,0.216337134825261,0.249876585519652,4777,0.999362603034257,"ELTR","SLA"
"SpeciesHEAN8",0.225112989836203,0.000990389198243286,0.0748582961299549,0.127962383500984,0.162560700156545,0.224291872589646,0.288050812491965,0.31989256359001,5713,0.99947505135389,"HEAN","SLA"
"SpeciesHECO8",0.138017634267446,0.0010562954676685,0.0741080961891814,0.0425480916850886,0.0759069693975019,0.139048395294509,0.197823025997306,0.231583565251432,4922,0.999266766376016,"HECO","SLA"
"SpeciesHEVI8",0.523563014843132,0.00131907270411777,0.0748098841513081,0.426458515686015,0.459594766429131,0.523638738116143,0.587686691117345,0.619711457001287,3216,1.00050977660483,"HEVI","SLA"
"SpeciesMACA8",0.320983092690274,0.00102243941719348,0.073435710197952,0.226694619968164,0.258666588565219,0.320654297583157,0.38306664571242,0.415028283824052,5159,1.00044586718245,"MACA","SLA"
"SpeciesMUPO8",0.220932796847426,0.00107948302422131,0.0728369628460616,0.128845570526191,0.162252742571676,0.220629300184024,0.282045606698722,0.314536442049183,4553,0.999754106167398,"MUPO","SLA"
"SpeciesPAMU8",0.276117967152557,0.00141017701353993,0.102315934620682,0.145333133849994,0.191038686211319,0.276826488539762,0.360153589246028,0.407029833493565,5264,0.999517762117623,"PAMU","SLA"
"SpeciesPLPA8",0.306510551708125,0.00104529936324806,0.0733380449035607,0.214034761910269,0.247473309090959,0.305728324927448,0.366303113652785,0.401302215851088,4922,0.999429289209538,"PLPA","SLA"
"SpeciesACMI9",0.38651810430903,0.000938455994385993,0.0596166439928607,0.311750049643397,0.336945473410754,0.385465670933455,0.436383362119422,0.462025763375109,4036,0.999900080631674,"ACMI","SRL"
"SpeciesARTR9",0.318186277547137,0.000878476391116908,0.0606155789016867,0.240317830649265,0.266736137895282,0.319891823122799,0.367033220474287,0.393626730664217,4761,0.999822099973937,"ARTR","SRL"
"SpeciesELTR9",0.23396879302792,0.000809690312105315,0.0605988365273556,0.158196334670683,0.183152289903789,0.234491067907755,0.28508957438053,0.311192276225789,5601,1.00040497319601,"ELTR","SRL"
"SpeciesHEAN9",0.171285364831443,0.000922453403012863,0.0611673179478045,0.0937398204946097,0.120295713731839,0.170658266238717,0.222663870064699,0.248325619786069,4397,0.999978202440622,"HEAN","SRL"
"SpeciesHECO9",0.152824425776213,0.000878703486077643,0.0601423430464273,0.0769849211914666,0.10211627110511,0.152630541033434,0.202520296536238,0.229407969816877,4685,0.999972969362864,"HECO","SRL"
"SpeciesHEVI9",0.134123290687869,0.000973616891531622,0.0603958806280225,0.0579271053789235,0.0843644853326375,0.134631128033266,0.184461881232556,0.211103253861545,3848,1.00145672302601,"HEVI","SRL"
"SpeciesMACA9",0.263542564121576,0.000874465797246966,0.0604769756127344,0.185192155439974,0.214233975999566,0.263404561425262,0.313677345819003,0.341931561896059,4783,0.999504010003794,"MACA","SRL"
"SpeciesMUPO9",0.404944567686287,0.000979828952870268,0.0626030659717076,0.325016050468099,0.352194357629587,0.406391518414551,0.456266792497086,0.484190383483863,4082,1.00070915186625,"MUPO","SRL"
"SpeciesPAMU9",0.265412593591287,0.000821410565663864,0.0614773090151341,0.186294625146184,0.212920340918847,0.264579965229296,0.317891932438745,0.343065855159588,5602,0.999486244808645,"PAMU","SRL"
"SpeciesPLPA9",0.0933074644188691,0.00100592287413063,0.0601406516638288,0.0145392341254904,0.0427878681935361,0.0938335761963549,0.143689557167981,0.171075771591671,3574,1.00079984414894,"PLPA","SRL"
