"","Harvest","Species","CI_10","CI_20","CI_50","CI_80","CI_90","trait"
"29","h3","MACA",-1.44152687888458,-1.07299521392891,-0.373763980329691,0.265263275844378,0.603069020823381,"rel_SLA2"
"30","h3","MUPO",-1.42851401716789,-1.03583798910707,-0.320012580413764,0.435217165310049,0.829289292051135,"rel_SLA2"
"31","h3","PAMU",-0.394372716752546,0.00593172620717455,0.681069878506087,1.36272567722168,1.70613252937666,"rel_SLA2"
"32","h3","PLPA",-1.47702843476452,-1.14702681361342,-0.489786762910543,0.135227067179948,0.45539039641848,"rel_SLA2"
"33","h3","VUOC",-1.54964769458199,-1.20826059840339,-0.528122751693528,0.134939185042978,0.484966519371295,"rel_SLA2"
"34","h4","ACMI",NA,NA,NA,NA,NA,"rel_SLA2"
"35","h4","ARTR",-0.757004076844927,-0.401052525489503,0.224386125639162,0.874635604536591,1.19714241978597,"rel_SLA2"
"36","h4","ELTR",-0.741369239911752,-0.370619008128224,0.32503821674323,1.03968340445996,1.40060047399507,"rel_SLA2"
"37","h4","HEAN",-1.18488243546115,-0.802416899506599,-0.0155187712596603,0.755771118717204,1.20148375804647,"rel_SLA2"
"38","h4","HECO",-0.791262069222913,-0.43297397296226,0.239609391314033,0.893169832393818,1.24560756602239,"rel_SLA2"
"39","h4","HEVI",NA,NA,NA,NA,NA,"rel_SLA2"
"40","h4","MACA",-1.05668175625044,-0.70162354622966,-0.042001596125389,0.606106824123577,0.963203415110045,"rel_SLA2"
"41","h4","MUPO",0.599030325000289,0.990943322481207,1.7462000047532,2.47797340919868,2.8640798843913,"rel_SLA2"
"42","h4","PAMU",NA,NA,NA,NA,NA,"rel_SLA2"
"43","h4","PLPA",1.7121336869499,2.04234606015319,2.69078562855582,3.3379013792141,3.67858846288781,"rel_SLA2"
"44","h4","VUOC",-0.753020155457885,-0.366806657806464,0.277079189353374,0.946618031209745,1.30134328446305,"rel_SLA2"
"45","h1","ACMI",-0.665738709438657,-0.0545537053914968,0.866374720164972,1.81975421251069,2.38332289007001,"rel_LDMC2"
"46","h1","ARTR",2.09957815733895,2.74589956797115,3.75388805877053,4.66088973040918,5.17797059069323,"rel_LDMC2"
"47","h1","ELTR",-0.967736768464336,-0.378525898731304,0.615186084331731,1.5431333214038,2.11180329550396,"rel_LDMC2"
"48","h1","HEAN",-1.72063502661463,-1.19801559969784,-0.271327584660503,0.668794275127296,1.23714107329202,"rel_LDMC2"
"49","h1","HECO",-1.17995724275778,-0.609589844935472,0.261278276529434,1.18577815399934,1.75027566351307,"rel_LDMC2"
"50","h1","HEVI",-0.205095423462082,0.507959437898664,1.94318698480561,3.29658679799899,4.03218358778166,"rel_LDMC2"
