"","Days","POP_ID","LDMC","RDMC","RMR","RTD","SLA","SRL","rel_LDMC2","rel_RDMC2","rel_RMR2","rel_RTD2","rel_SLA2","rel_SRL2","H_num","SPECIES","LOCATION_CODE","POP_CODE","GrowthForm"
"ARTR_UTSW_OCR.111","42","ARTR_UTSW_OCR",0.135305439255186,0.101097471588073,0.182645678149897,0.116209587513935,30.5081433079316,19.9162883089133,0.212396511268537,-0.0516338705849789,-0.388593337309556,0.248819447910947,-0.156995963123631,-0.626083957764827,"H3","ARTR","UTSW","OCR","FORB"
"ARTR_UTSW_OCR.162","84","ARTR_UTSW_OCR",0.165788175743538,0.11666184259555,0.210197350760081,0.116484871829929,24.2169834520211,12.6024831903793,0.225288330285537,0.153954107486432,0.150847657000525,0.00236886062400748,-0.206212478826101,-0.3672273169123,"H4","ARTR","UTSW","OCR","FORB"
"ELTR_NMNW_C.10","10","ELTR_NMNW_C",0.191327216508705,0.0797662902429344,0.351623376623377,0.0393706682638829,56.7318452380952,27.1832133741259,NA,NA,NA,NA,NA,NA,"H1","ELTR","NMNW","C","GRASS"
"ELTR_NMNW_C.61","24","ELTR_NMNW_C",0.203030695669459,0.160918446261641,0.625459482038429,0.0584145769635997,53.3105655314757,25.2193981066534,0.0611699651221427,1.01737407834251,0.778776735621757,0.483708037975744,-0.0603061594816963,-0.0722436762881643,"H2","ELTR","NMNW","C","GRASS"
"ELTR_NMNW_C.112","42","ELTR_NMNW_C",0.221060530695081,0.174615406920339,0.321079546904119,0.0439007519201099,38.2339488002948,23.2181258776588,0.0888034933149989,0.0851174055982861,-0.486650125028577,-0.24846238384186,-0.282807293092387,-0.079354480250926,"H3","ELTR","NMNW","C","GRASS"
"ELTR_NMNW_C.163","84","ELTR_NMNW_C",0.270049982209771,0.137970135843055,0.270569499640352,0.143233783286145,26.2532070513551,12.0771632459997,0.221611028258426,-0.209862759097781,-0.157313188431932,2.2626726655343,-0.313353501923592,-0.479839014154853,"H4","ELTR","NMNW","C","GRASS"
"ELTR_UTC_TMC.11","10","ELTR_UTC_TMC",0.106670134114252,0.369988095238095,0.620699979973122,0.08084125,90.7665748369783,31.3942400853318,NA,NA,NA,NA,NA,NA,"H1","ELTR","UTC","TMC","GRASS"
"ELTR_UTC_TMC.62","24","ELTR_UTC_TMC",0.273777777777778,0.166699604743083,0.530045351473923,0.0573611111111111,48.5161172161172,40.2859798201798,1.56658323392133,-0.549446031132952,-0.146052249757,-0.290447499128092,-0.465484763490802,0.283228379176552,"H2","ELTR","UTC","TMC","GRASS"
"ELTR_UTC_TMC.113","42","ELTR_UTC_TMC",0.149955005238616,0.0994983277591973,0.364995374653099,0.0452825872064162,67.9489834943639,40.3192361111111,-0.452274737358953,-0.403127992339611,-0.311388405467308,-0.210569908265867,0.400544548766797,0.000825505326660385,"H3","ELTR","UTC","TMC","GRASS"
"ELTR_UTC_TMC.164","84","ELTR_UTC_TMC",0.193773053381006,0.118518817518764,0.281609027611894,0.090851793976162,36.8054763934559,13.0274812153997,0.29220797313611,0.191163913886065,-0.228458640388135,1.0063295756937,-0.458336615197359,-0.676891665816812,"H4","ELTR","UTC","TMC","GRASS"
"ELTR_UTSW_DNF.12","10","ELTR_UTSW_DNF",0.221031809599592,0.130458083583084,0.483875921375921,0.0674840117535217,60.9266448624904,25.0043590953394,NA,NA,NA,NA,NA,NA,"H1","ELTR","UTSW","DNF","GRASS"
"ELTR_UTSW_DNF.63","24","ELTR_UTSW_DNF",0.127810743098261,0.148172664502115,0.618089968880019,0.0630757540232027,72.2868004614522,32.7706116347757,-0.421754075443735,0.13578752985245,0.277372858567656,-0.0653229945252776,0.186456280738932,0.310595944884022,"H2","ELTR","UTSW","DNF","GRASS"
"ELTR_UTSW_DNF.114","42","ELTR_UTSW_DNF",0.223812782663237,0.176926594064345,0.281093365049698,0.0541143101617836,38.5735834945197,22.6188164502164,0.751126526908384,0.194056910961598,-0.545222574054971,-0.1420743041474,-0.46638136909809,-0.309783512669818,"H3","ELTR","UTSW","DNF","GRASS"
"ELTR_UTSW_DNF.165","84","ELTR_UTSW_DNF",0.220505837675022,0.125117352376787,0.355635856290963,0.103830061888717,72.4156068034994,11.9986753911355,-0.0147754965058944,-0.292829023028136,0.265187658300243,0.918717277893771,0.877336774110911,-0.469526824378973,"H4","ELTR","UTSW","DNF","GRASS"
"ELTR_UTSW_SP.13","10","ELTR_UTSW_SP",0.079088992989669,0.220890625,0.555989465313268,0.0413219047619048,184.830278186588,57.5746003716334,NA,NA,NA,NA,NA,NA,"H1","ELTR","UTSW","SP","GRASS"
"ELTR_UTSW_SP.64","24","ELTR_UTSW_SP",0.170511363636364,0.112280900900901,0.410512394146241,0.0372100790513834,81.6511823201655,69.7369324232546,1.15594303569697,-0.491690057462145,-0.261654366211882,-0.0995071677894216,-0.558236977613928,0.211244749822242,"H2","ELTR","UTSW","SP","GRASS"
"ELTR_UTSW_SP.115","42","ELTR_UTSW_SP",0.141202125933139,0.0960545898536275,0.250994500994501,0.033015873015873,89.0955034213099,64.3356367521368,-0.171890231115215,-0.144515326445365,-0.388582404396086,-0.112716934294029,0.0911722389022386,-0.0774524413883846,"H3","ELTR","UTSW","SP","GRASS"
"ELTR_UTSW_SP.166","84","ELTR_UTSW_SP",0.185385437177644,0.104096497361354,0.250233628882634,0.12546538964258,91.6824305575073,18.1481408294542,0.312908257949509,0.0837222616845443,-0.00303142940922013,2.80015362859737,0.0290354399140044,-0.717914646599787,"H4","ELTR","UTSW","SP","GRASS"
"HEAN_AZSE_HWD.14","10","HEAN_AZSE_HWD",0.39515455304929,0.251112332112332,0.21729627657747,0.205922222222222,12.1086080586081,13.5190242484189,NA,NA,NA,NA,NA,NA,"H1","HEAN","AZSE","HWD","FORB"
"HEAN_AZSE_HWD.65","24","HEAN_AZSE_HWD",0.17089931673265,0.125430849811676,0.23200886425436,0.105575,61.4086805555556,20.1181020244605,-0.567512722771708,-0.50049904456478,0.0677075001404545,-0.487306426374575,4.07148965911898,0.488132697654816,"H2","HEAN","AZSE","HWD","FORB"
